date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event
2014-10-31,buy_hold_00631L,1.0,,,,,,,,,,,,,,,
2014-11-03,buy_hold_00631L,1.007920792079208,,,,,,,,,,,,,,,
2014-11-04,buy_hold_00631L,1.0133663366336634,,,,,,,,,,,,,,,
2014-11-05,buy_hold_00631L,1.004950495049505,,,,,,,,,,,,,,,
2014-11-06,buy_hold_00631L,0.9905940594059408,,,,,,,,,,,,,,,
2014-11-07,buy_hold_00631L,0.9965346534653464,,,,,,,,,,,,,,,
2014-11-10,buy_hold_00631L,1.0267326732673265,,,,,,,,,,,,,,,
2014-11-11,buy_hold_00631L,1.0242574257425743,,,,,,,,,,,,,,,
2014-11-12,buy_hold_00631L,0.995049504950495,,,,,,,,,,,,,,,
2014-11-13,buy_hold_00631L,1.004950495049505,,,,,,,,,,,,,,,
2014-11-14,buy_hold_00631L,1.005940594059406,,,,,,,,,,,,,,,
2014-11-17,buy_hold_00631L,0.993069306930693,,,,,,,,,,,,,,,
2014-11-18,buy_hold_00631L,0.985148514851485,,,,,,,,,,,,,,,
2014-11-19,buy_hold_00631L,1.0089108910891087,,,,,,,,,,,,,,,
2014-11-20,buy_hold_00631L,1.035148514851485,,,,,,,,,,,,,,,
2014-11-21,buy_hold_00631L,1.0366336633663364,,,,,,,,,,,,,,,
2014-11-24,buy_hold_00631L,1.0405940594059404,,,,,,,,,,,,,,,
2014-11-25,buy_hold_00631L,1.0445544554455444,,,,,,,,,,,,,,,
2014-11-26,buy_hold_00631L,1.0425742574257422,,,,,,,,,,,,,,,
2014-11-27,buy_hold_00631L,1.0569306930693068,,,,,,,,,,,,,,,
2014-11-28,buy_hold_00631L,1.059405940594059,,,,,,,,,,,,,,,
2014-12-01,buy_hold_00631L,1.041089108910891,,,,,,,,,,,,,,,
2014-12-02,buy_hold_00631L,1.0173267326732671,,,,,,,,,,,,,,,
2014-12-03,buy_hold_00631L,1.0499999999999998,,,,,,,,,,,,,,,
2014-12-04,buy_hold_00631L,1.0603960396039602,,,,,,,,,,,,,,,
2014-12-05,buy_hold_00631L,1.0554455445544553,,,,,,,,,,,,,,,
2014-12-08,buy_hold_00631L,1.0480198019801978,,,,,,,,,,,,,,,
2014-12-09,buy_hold_00631L,1.0356435643564355,,,,,,,,,,,,,,,
2014-12-10,buy_hold_00631L,1.0089108910891085,,,,,,,,,,,,,,,
2014-12-11,buy_hold_00631L,1.007425742574257,,,,,,,,,,,,,,,
2014-12-12,buy_hold_00631L,1.007425742574257,,,,,,,,,,,,,,,
2014-12-15,buy_hold_00631L,1.004455445544554,,,,,,,,,,,,,,,
2014-12-16,buy_hold_00631L,0.9960396039603957,,,,,,,,,,,,,,,
2014-12-17,buy_hold_00631L,0.9688118811881185,,,,,,,,,,,,,,,
2014-12-18,buy_hold_00631L,0.9707920792079205,,,,,,,,,,,,,,,
2014-12-19,buy_hold_00631L,1.0009900990099005,,,,,,,,,,,,,,,
2014-12-22,buy_hold_00631L,1.0237623762376233,,,,,,,,,,,,,,,
2014-12-23,buy_hold_00631L,1.0257425742574253,,,,,,,,,,,,,,,
2014-12-24,buy_hold_00631L,1.0396039603960392,,,,,,,,,,,,,,,
2014-12-25,buy_hold_00631L,1.0396039603960392,,,,,,,,,,,,,,,
2014-12-26,buy_hold_00631L,1.0475247524752471,,,,,,,,,,,,,,,
2014-12-27,buy_hold_00631L,1.0539603960396033,,,,,,,,,,,,,,,
2014-12-29,buy_hold_00631L,1.069306930693069,,,,,,,,,,,,,,,
2014-12-30,buy_hold_00631L,1.061386138613861,,,,,,,,,,,,,,,
2014-12-31,buy_hold_00631L,1.0658415841584155,,,,,,,,,,,,,,,
2015-01-05,buy_hold_00631L,1.0579207920792075,,,,,,,,,,,,,,,
2015-01-06,buy_hold_00631L,1.007425742574257,,,,,,,,,,,,,,,
2015-01-07,buy_hold_00631L,1.0128712871287124,,,,,,,,,,,,,,,
2015-01-08,buy_hold_00631L,1.0509900990099006,,,,,,,,,,,,,,,
2015-01-09,buy_hold_00631L,1.0465346534653461,,,,,,,,,,,,,,,
2015-01-12,buy_hold_00631L,1.0351485148514847,,,,,,,,,,,,,,,
2015-01-13,buy_hold_00631L,1.0455445544554454,,,,,,,,,,,,,,,
2015-01-14,buy_hold_00631L,1.032178217821782,,,,,,,,,,,,,,,
2015-01-15,buy_hold_00631L,1.0346534653465345,,,,,,,,,,,,,,,
2015-01-16,buy_hold_00631L,1.0227722772277228,,,,,,,,,,,,,,,
2015-01-19,buy_hold_00631L,1.0371287128712872,,,,,,,,,,,,,,,
2015-01-20,buy_hold_00631L,1.054950495049505,,,,,,,,,,,,,,,
2015-01-21,buy_hold_00631L,1.0688118811881189,,,,,,,,,,,,,,,
2015-01-22,buy_hold_00631L,1.0797029702970298,,,,,,,,,,,,,,,
2015-01-23,buy_hold_00631L,1.107920792079208,,,,,,,,,,,,,,,
2015-01-26,buy_hold_00631L,1.1074257425742575,,,,,,,,,,,,,,,
2015-01-27,buy_hold_00631L,1.117821782178218,,,,,,,,,,,,,,,
2015-01-28,buy_hold_00631L,1.1193069306930694,,,,,,,,,,,,,,,
2015-01-29,buy_hold_00631L,1.098019801980198,,,,,,,,,,,,,,,
2015-01-30,buy_hold_00631L,1.0891089108910892,,,,,,,,,,,,,,,
2015-02-02,buy_hold_00631L,1.0886138613861387,,,,,,,,,,,,,,,
2015-02-03,buy_hold_00631L,1.103960396039604,,,,,,,,,,,,,,,
2015-02-04,buy_hold_00631L,1.1222772277227724,,,,,,,,,,,,,,,
2015-02-05,buy_hold_00631L,1.1168316831683167,,,,,,,,,,,,,,,
2015-02-06,buy_hold_00631L,1.1054455445544553,,,,,,,,,,,,,,,
2015-02-09,buy_hold_00631L,1.1014851485148516,,,,,,,,,,,,,,,
2015-02-10,buy_hold_00631L,1.0955445544554454,,,,,,,,,,,,,,,
2015-02-11,buy_hold_00631L,1.111881188118812,,,,,,,,,,,,,,,
2015-02-12,buy_hold_00631L,1.112871287128713,,,,,,,,,,,,,,,
2015-02-13,buy_hold_00631L,1.1252475247524756,,,,,,,,,,,,,,,
2015-02-24,buy_hold_00631L,1.1465346534653469,,,,,,,,,,,,,,,
2015-02-25,buy_hold_00631L,1.1599009900990103,,,,,,,,,,,,,,,
2015-02-26,buy_hold_00631L,1.1485148514851489,,,,,,,,,,,,,,,
2015-03-02,buy_hold_00631L,1.1391089108910895,,,,,,,,,,,,,,,
2015-03-03,buy_hold_00631L,1.1400990099009907,,,,,,,,,,,,,,,
2015-03-04,buy_hold_00631L,1.1425742574257431,,,,,,,,,,,,,,,
2015-03-05,buy_hold_00631L,1.1361386138613867,,,,,,,,,,,,,,,
2015-03-06,buy_hold_00631L,1.1410891089108917,,,,,,,,,,,,,,,
2015-03-09,buy_hold_00631L,1.1262376237623768,,,,,,,,,,,,,,,
2015-03-10,buy_hold_00631L,1.1178217821782181,,,,,,,,,,,,,,,
2015-03-11,buy_hold_00631L,1.1188118811881191,,,,,,,,,,,,,,,
2015-03-12,buy_hold_00631L,1.133663366336634,,,,,,,,,,,,,,,
2015-03-13,buy_hold_00631L,1.1301980198019805,,,,,,,,,,,,,,,
2015-03-16,buy_hold_00631L,1.1178217821782181,,,,,,,,,,,,,,,
2015-03-17,buy_hold_00631L,1.1217821782178221,,,,,,,,,,,,,,,
2015-03-18,buy_hold_00631L,1.138613861386139,,,,,,,,,,,,,,,
2015-03-19,buy_hold_00631L,1.1668316831683172,,,,,,,,,,,,,,,
2015-03-20,buy_hold_00631L,1.164356435643565,,,,,,,,,,,,,,,
2015-03-23,buy_hold_00631L,1.1648514851485157,,,,,,,,,,,,,,,
2015-03-24,buy_hold_00631L,1.1574257425742582,,,,,,,,,,,,,,,
2015-03-25,buy_hold_00631L,1.1504950495049513,,,,,,,,,,,,,,,
2015-03-26,buy_hold_00631L,1.1306930693069315,,,,,,,,,,,,,,,
2015-03-27,buy_hold_00631L,1.1118811881188129,,,,,,,,,,,,,,,
2015-03-30,buy_hold_00631L,1.1118811881188129,,,,,,,,,,,,,,,
2015-03-31,buy_hold_00631L,1.1227722772277238,,,,,,,,,,,,,,,
2015-04-01,buy_hold_00631L,1.1059405940594067,,,,,,,,,,,,,,,
