date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,eligible_target_value,eligible_total_value,non_eligible_asset_value,target_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2017-04-05,pledge_006208_once,1.0,1.0,1.0,0.0,0.6,0.0,1.0,2.666666666666667,,,,0.0,,,False,,1.0,0.6,1.6,0.0,0.6,0.0,0.0,0.0,1.0,0.0
2017-04-06,pledge_006208_once,0.9966524160856172,0.9966524160856172,0.9966524160856172,0.0,0.6000785714285715,7.857142857142858e-05,0.9979568671963679,2.660869865279385,,,,0.0,,,False,,0.9979568671963679,0.5987741203178206,1.5967309875141886,0.0,0.5987741203178206,0.0,0.0,0.0,0.9966524160856172,0.0
2017-04-07,pledge_006208_once,0.9874932441295644,0.9874932441295644,0.9874932441295644,0.0,0.6001571531462585,0.0001571531462585034,0.9922814982973894,2.6453911095664506,,,,0.0,,,False,,0.9922814982973894,0.5953688989784336,1.587650397275823,0.0,0.5953688989784336,0.0,0.0,0.0,0.9874932441295644,0.0
2017-04-11,pledge_006208_once,0.9928630062644335,0.9928630062644336,0.9928630062644335,0.0,0.6002357451544086,0.0002357451544086087,0.9956867196367765,2.6541217584584587,,,,0.0,,,False,,0.9956867196367765,0.5974120317820658,1.5930987514188422,0.0,0.5974120317820658,0.0,0.0,0.0,0.9928630062644336,1.1102230246251565e-16
2017-04-13,pledge_006208_once,0.9913315095263345,0.9913315095263346,0.9913315095263345,0.0,0.6003143474543693,0.00031434745436930507,0.99477866061294,2.6513540176577024,,,,0.0,,,False,,0.99477866061294,0.5968671963677639,1.591645856980704,0.0,0.5968671963677639,0.0,0.0,0.0,0.9913315095263346,1.1102230246251565e-16
2017-04-17,pledge_006208_once,0.9752710581136923,0.9752710581136924,0.9752710581136923,0.0,0.6003929600474883,0.0003929600474883296,0.984790011350738,2.624387897613844,,,,0.0,,,False,,0.984790011350738,0.5908740068104427,1.5756640181611807,0.0,0.5908740068104427,0.0,0.0,0.0,0.9752710581136924,1.1102230246251565e-16
2017-04-18,pledge_006208_once,0.9755556588356015,0.9755556588356017,0.9755556588356015,0.0,0.6004715829351136,0.00047158293511359594,0.9850170261066971,2.6246491700191235,,,,0.0,,,False,,0.9850170261066971,0.5910102156640181,1.5760272417707153,0.0,0.5910102156640181,0.0,0.0,0.0,0.9755556588356017,2.220446049250313e-16
2017-04-19,pledge_006208_once,0.9613113048802715,0.9613113048802717,0.9613113048802715,0.0,0.6005502161185932,0.0005502161185931941,0.9761634506242907,2.6007176070858953,,,,0.0,,,False,,0.9761634506242907,0.5856980703745743,1.5618615209988649,0.0,0.5856980703745743,0.0,0.0,0.0,0.9613113048802717,2.220446049250313e-16
2017-04-20,pledge_006208_once,0.962685555837728,0.9626855558377282,0.962685555837728,0.0,0.6006288595992754,0.0006288595992753909,0.9770715096481273,2.602796036940363,,,,0.0,,,False,,0.9770715096481273,0.5862429057888763,1.5633144154370036,0.0,0.5862429057888763,0.0,0.0,0.0,0.9626855558377282,2.220446049250313e-16
2017-04-21,pledge_006208_once,0.9709610450777909,0.9709610450777911,0.9709610450777909,0.0,0.6007075133785086,0.0007075133785086293,0.9822928490351874,2.6163624117449387,,,,0.0,,,False,,0.9822928490351874,0.5893757094211124,1.5716685584562997,0.0,0.5893757094211124,0.0,0.0,0.0,0.9709610450777911,2.220446049250313e-16
