date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,eligible_target_value,eligible_total_value,non_eligible_asset_value,target_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2017-04-05,pledge_006208_dynamic,1.0,1.0,1.0,0.0,0.3,0.0,1.0,4.333333333333334,,,,0.0,,,False,,1.0,0.3,1.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0
2017-04-06,pledge_006208_dynamic,0.9973046416409925,0.9973046416409925,0.9973046416409925,0.0,0.30003928571428573,3.928571428571429e-05,0.9979568671963679,4.3239135310790004,,,,0.0,,,False,,0.9979568671963679,0.2993870601589103,1.2973439273552783,0.0,0.2993870601589103,0.0,0.0,0.0,0.9973046416409925,0.0
2017-04-07,pledge_006208_dynamic,0.9898873712134768,0.9898873712134768,0.9898873712134768,0.0,0.30007857657312925,7.85765731292517e-05,0.9922814982973894,4.298760553045482,,,,0.0,,,False,,0.9922814982973894,0.2976844494892168,1.2899659477866061,0.0,0.2976844494892168,0.0,0.0,0.0,0.9898873712134768,0.0
2017-04-11,pledge_006208_dynamic,0.994274862950605,0.9942748629506051,0.994274862950605,0.0,0.3001178725772043,0.00011787257720430434,0.9956867196367765,4.312947857494995,,,,0.0,,,False,,0.9956867196367765,0.2987060158910329,1.2943927355278093,0.0,0.2987060158910329,0.0,0.0,0.0,0.9942748629506051,1.1102230246251565e-16
2017-04-13,pledge_006208_dynamic,0.993055085069637,0.9930550850696371,0.993055085069637,0.0,0.30015717372718465,0.00015717372718465254,0.99477866061294,4.3084502786937655,,,,0.0,,,False,,0.99477866061294,0.29843359818388193,1.2932122587968218,0.0,0.29843359818388193,0.0,0.0,0.0,0.9930550850696371,1.1102230246251565e-16
2017-04-17,pledge_006208_dynamic,0.980030534732215,0.9800305347322151,0.980030534732215,0.0,0.30019648002374416,0.0001964800237441648,0.984790011350738,4.264630333622497,,,,0.0,,,False,,0.984790011350738,0.29543700340522133,1.2802270147559593,0.0,0.29543700340522133,0.0,0.0,0.0,0.9800305347322151,1.1102230246251565e-16
2017-04-18,pledge_006208_dynamic,0.980286342471149,0.9802863424711492,0.980286342471149,0.0,0.3002357914675568,0.00023579146755679797,0.9850170261066971,4.265054901281076,,,,0.0,,,False,,0.9850170261066971,0.29550510783200906,1.280522133938706,0.0,0.29550510783200906,0.0,0.0,0.0,0.9802863424711492,2.220446049250313e-16
2017-04-19,pledge_006208_dynamic,0.9687373777522811,0.9687373777522813,0.9687373777522811,0.0,0.3002751080592966,0.0002751080592965971,0.9761634506242907,4.226166111514581,,,,0.0,,,False,,0.9761634506242907,0.29284903518728717,1.2690124858115779,0.0,0.29284903518728717,0.0,0.0,0.0,0.9687373777522813,2.220446049250313e-16
2017-04-20,pledge_006208_dynamic,0.9698785327429276,0.9698785327429278,0.9698785327429276,0.0,0.3003144297996377,0.00031442979963769544,0.9770715096481273,4.22954356002809,,,,0.0,,,False,,0.9770715096481273,0.29312145289443814,1.2701929625425654,0.0,0.29312145289443814,0.0,0.0,0.0,0.9698785327429278,2.220446049250313e-16
2017-04-21,pledge_006208_dynamic,0.9766269470564892,0.9766269470564894,0.9766269470564892,0.0,0.3003537566892543,0.00035375668925431464,0.9822928490351874,4.251588919085526,,,,0.0,,,False,,0.9822928490351874,0.2946878547105562,1.2769807037457437,0.0,0.2946878547105562,0.0,0.0,0.0,0.9766269470564894,2.220446049250313e-16
