date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,eligible_target_value,eligible_total_value,non_eligible_asset_value,target_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2017-04-05,fixed_beta_50_cash_50_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-06,fixed_beta_50_cash_50_00685L,0.9955223880597015,0.9955223880597015,0.9955223880597015,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-07,fixed_beta_50_cash_50_00685L,0.9920240664149134,0.9920240664149134,0.9920240664149134,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-11,fixed_beta_50_cash_50_00685L,0.9905194798632223,0.9905194798632223,0.9905194798632223,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-13,fixed_beta_50_cash_50_00685L,0.9930309389906645,0.9930309389906645,0.9930309389906645,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-17,fixed_beta_50_cash_50_00685L,0.9805053216976441,0.9805053216976441,0.9805053216976441,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-18,fixed_beta_50_cash_50_00685L,0.9825353534195853,0.9825353534195853,0.9825353534195853,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-19,fixed_beta_50_cash_50_00685L,0.9734190460167232,0.9734190460167232,0.9734190460167232,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-20,fixed_beta_50_cash_50_00685L,0.9739302955156814,0.9739302955156814,0.9739302955156814,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-21,fixed_beta_50_cash_50_00685L,0.9821059957928332,0.9821059957928332,0.9821059957928332,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-24,fixed_beta_50_cash_50_00685L,0.9831195210722893,0.9831195210722893,0.9831195210722893,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-25,fixed_beta_50_cash_50_00685L,0.9922318544292932,0.9922318544292932,0.9922318544292932,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-26,fixed_beta_50_cash_50_00685L,0.9957432917301045,0.9957432917301045,0.9957432917301045,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-27,fixed_beta_50_cash_50_00685L,0.9957432917301045,0.9957432917301045,0.9957432917301045,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-03,fixed_beta_50_cash_50_00685L,1.00374122981629,1.00374122981629,1.00374122981629,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-04,fixed_beta_50_cash_50_00685L,1.0047330689761875,1.0047330689761875,1.0047330689761875,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-05,fixed_beta_50_cash_50_00685L,0.998787902887571,0.998787902887571,0.998787902887571,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-08,fixed_beta_50_cash_50_00685L,1.0012798886732188,1.0012798886732188,1.0012798886732188,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-10,fixed_beta_50_cash_50_00685L,1.0047600074521228,1.0047600074521228,1.0047600074521228,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-11,fixed_beta_50_cash_50_00685L,1.0092190015680345,1.0092190015680345,1.0092190015680345,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-15,fixed_beta_50_cash_50_00685L,1.0126718525020404,1.0126718525020404,1.0126718525020404,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-16,fixed_beta_50_cash_50_00685L,1.0126718525020404,1.0126718525020404,1.0126718525020404,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-17,fixed_beta_50_cash_50_00685L,1.0102139111124722,1.0102139111124722,1.0102139111124722,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-18,fixed_beta_50_cash_50_00685L,1.0067644001964784,1.0067644001964784,1.0067644001964784,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-23,fixed_beta_50_cash_50_00685L,1.0122036970541215,1.0122036970541215,1.0122036970541215,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-24,fixed_beta_50_cash_50_00685L,1.0141710511786193,1.0141710511786193,1.0141710511786193,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-25,fixed_beta_50_cash_50_00685L,1.0220252316330518,1.0220252316330518,1.0220252316330518,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-26,fixed_beta_50_cash_50_00685L,1.0200766611246952,1.0200766611246952,1.0200766611246952,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-01,fixed_beta_50_cash_50_00685L,1.0191005112097433,1.0191005112097433,1.0191005112097433,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-02,fixed_beta_50_cash_50_00685L,1.0239859403142964,1.0239859403142964,1.0239859403142964,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-03,fixed_beta_50_cash_50_00685L,1.027875725462689,1.027875725462689,1.027875725462689,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-05,fixed_beta_50_cash_50_00685L,1.0317508460110874,1.0317508460110874,1.0317508460110874,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-06,fixed_beta_50_cash_50_00685L,1.0317508460110874,1.0317508460110874,1.0317508460110874,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-07,fixed_beta_50_cash_50_00685L,1.0317508460110874,1.0317508460110874,1.0317508460110874,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-08,fixed_beta_50_cash_50_00685L,1.0336811562936152,1.0336811562936152,1.0336811562936152,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-14,fixed_beta_50_cash_50_00685L,1.0177857797056893,1.0177857797056893,1.0177857797056893,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-16,fixed_beta_50_cash_50_00685L,1.0280615015200256,1.0280615015200256,1.0280615015200256,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-19,fixed_beta_50_cash_50_00685L,1.036297620994974,1.036297620994974,1.036297620994974,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-20,fixed_beta_50_cash_50_00685L,1.0468720865153307,1.0468720865153307,1.0468720865153307,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-21,fixed_beta_50_cash_50_00685L,1.048775490308995,1.048775490308995,1.048775490308995,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-23,fixed_beta_50_cash_50_00685L,1.0511504348069773,1.0511504348069773,1.0511504348069773,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-26,fixed_beta_50_cash_50_00685L,1.0691593241318942,1.0691593241318942,1.0691593241318942,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-27,fixed_beta_50_cash_50_00685L,1.0686932564230311,1.0686932564230311,1.0686932564230311,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-28,fixed_beta_50_cash_50_00685L,1.0589015642830295,1.0589015642830295,1.0589015642830295,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-29,fixed_beta_50_cash_50_00685L,1.0603134330354067,1.0603134330354067,1.0603134330354067,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-06-30,fixed_beta_50_cash_50_00685L,1.0565534563225152,1.0565534563225152,1.0565534563225152,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-07-03,fixed_beta_50_cash_50_00685L,1.0579684832729472,1.0579684832729472,1.0579684832729472,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-07-04,fixed_beta_50_cash_50_00685L,1.0527869813513075,1.0527869813513075,1.0527869813513075,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-07-05,fixed_beta_50_cash_50_00685L,1.059887612970134,1.059887612970134,1.059887612970134,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-07-06,fixed_beta_50_cash_50_00685L,1.0575364869431374,1.0575364869431374,1.0575364869431374,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-07-07,fixed_beta_50_cash_50_00685L,1.0514099386676201,1.0514099386676201,1.0514099386676201,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-07-12,fixed_beta_50_cash_50_00685L,1.0651569577034006,1.0651569577034006,1.0651569577034006,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
