date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,non_eligible_asset_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2012-07-17,buy_hold_006208,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-18,buy_hold_006208,0.9886714727085479,0.9886714727085479,0.9886714727085479,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-19,buy_hold_006208,1.0102986611740472,1.0102986611740472,1.0102986611740472,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-20,buy_hold_006208,1.010641949879849,1.010641949879849,1.010641949879849,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-23,buy_hold_006208,0.9907312049433572,0.9907312049433572,0.9907312049433572,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-24,buy_hold_006208,0.987641606591143,0.987641606591143,0.987641606591143,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-25,buy_hold_006208,0.9828355647099208,0.9828355647099208,0.9828355647099208,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-26,buy_hold_006208,0.9845520082389286,0.9845520082389286,0.9845520082389286,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-27,buy_hold_006208,1.0089255063508409,1.0089255063508409,1.0089255063508409,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-30,buy_hold_006208,1.013731548232063,1.013731548232063,1.013731548232063,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-07-31,buy_hold_006208,1.027463096464126,1.027463096464126,1.027463096464126,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-01,buy_hold_006208,1.0326124270511496,1.0326124270511496,1.0326124270511496,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-03,buy_hold_006208,1.023343631994507,1.023343631994507,1.023343631994507,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-06,buy_hold_006208,1.0363886028149671,1.0363886028149671,1.0363886028149671,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-07,buy_hold_006208,1.0374184689323718,1.0374184689323718,1.0374184689323718,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-08,buy_hold_006208,1.044627531754205,1.044627531754205,1.044627531754205,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-09,buy_hold_006208,1.064194987984895,1.064194987984895,1.064194987984895,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-10,buy_hold_006208,1.0648815653964983,1.0648815653964983,1.0648815653964983,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-13,buy_hold_006208,1.0665980089255063,1.0665980089255063,1.0665980089255063,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-14,buy_hold_006208,1.0727772056299347,1.0727772056299347,1.0727772056299347,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-15,buy_hold_006208,1.0683144524545143,1.0683144524545143,1.0683144524545143,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-16,buy_hold_006208,1.07174733951253,1.07174733951253,1.07174733951253,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-17,buy_hold_006208,1.0665980089255065,1.0665980089255065,1.0665980089255065,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-20,buy_hold_006208,1.0648815653964987,1.0648815653964987,1.0648815653964987,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-21,buy_hold_006208,1.0755235152763476,1.0755235152763476,1.0755235152763476,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-22,buy_hold_006208,1.0738070717473398,1.0738070717473398,1.0738070717473398,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-23,buy_hold_006208,1.0751802265705461,1.0751802265705461,1.0751802265705461,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-24,buy_hold_006208,1.0710607621009272,1.0710607621009272,1.0710607621009272,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-27,buy_hold_006208,1.070374184689324,1.070374184689324,1.070374184689324,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-28,buy_hold_006208,1.0583590799862685,1.0583590799862685,1.0583590799862685,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-29,buy_hold_006208,1.0631651218674907,1.0631651218674907,1.0631651218674907,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-30,buy_hold_006208,1.0597322348094749,1.0597322348094749,1.0597322348094749,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-08-31,buy_hold_006208,1.0593889461036732,1.0593889461036732,1.0593889461036732,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-09-03,buy_hold_006208,1.0696876072777206,1.0696876072777206,1.0696876072777206,,,,,,,,,0.0,,,,,,,,,,,0.0
2012-09-04,buy_hold_006208,1.069344318571919,1.069344318571919,1.069344318571919,,,,,,,,,0.0,,,,,,,,,,,0.0
